Year,SRAM cell area (um^2),SRAM density (bit/mm^2),CGP (um),M1 Pitch (um),CGP x M1 (um^2),Source,Note,,References,,
1985,149.35797,6695.323992,,,,[2],TOSHIBA 256K,4 Transistor static - NMOS or CMOS ,[20],"WC Jeong, et al., (Samsung) True 7nm Platform Technology featuring Smallest FinFET and Smallest SRAM cell  by EUV, Special Constructs and 3rd Generation Single Diffusion Break,  VLSI, 2018",
1986,126,7936.507937,,,,[4],,,[21],"L. Su, et al., IEDM 1998",
1989,50,20000,,,,[4],,,[22],"E. Leobandung, et al., IEDM 1999",
1991,,,1.8,2.3,,[1],,,[23],"J.W. Sleight, et al., IEDM 2001",
1992,20,50000,,,,[4],,,[24],"M. Khare, et al., IEDM 2002",
1994,20.5,48780.4878,0.92,0.88,0.8096,[7] ,Intel,,[25],"A. Steegen, et al., IEDM, 2005",
1995,8,125000,,,,[4],,,[26],"Z. Luo, et al., VLSI-T, 2007",
1996,10.26,97465.88694,0.64,0.64,0.4096,[8],Intel,,[27],"X. Chen, et al., VLSI, 2008",
1998,5.59,178890.8766,0.48,0.5,0.24,[9],Intel,,[28],"F. Arnaud, IEDM, 2009",
1998,5.4,185185.1852,,,,[21],IBM,,[29],"Geoffrey Yeap, et al., IEDM, 2019",
1998,3.2,312500,,,,[4],,,[30],"Yusung Kim, et al., VLSI, 2022",
1999,4.23,236406.6194,,,,[22],IBM,,[31],"B. Sell, et al., VLSI, 2022",
2000,2.09,478468.8995,0.336,0.35,0.1176,[10],Intel,,[32],"Shien-Yang Wu, et al., IEDM 2016",
2001,1.3,769230.7692,,,,[4],,,,,
2001,1.8,555555.5556,,,,[23],IBM,,,,
2002,1,1000000,0.26,0.22,0.0572,[11],Intel,,,,
2002,0.992,1008064.516,,,,[24],IBM,,,,
2004,0.57,1754385.965,0.22,0.21,0.0462,[12],Intel,,,,
2004,0.52,1923076.923,,,,[4],,,,,
2005,0.54,1851851.852,,,,[25],IBM,,,,
2007,0.346,2890173.41,0.16,0.16,0.0256,[13],Intel,,,,
2007,0.249,4016064.257,,,,[26],IBM,,,,
2007,0.21,4761904.762,,,,[4],,,,,
2008,0.157,6369426.752,,,,[27],IBM,,,,
2009,0.148,6756756.757,0.1125,0.1125,0.01265625,[14],Intel,,,,
2009,0.12,8333333.333,,,,[28],IBM,,,,
2010,0.08,12500000,,,,[4],,,,,
2012,0.092,10869565.22,0.09,0.08,0.0072,[15],Intel,,,,
2014,0.0588,17006802.72,0.07,0.052,0.00364,[16],Intel,,,,
2016,0.027,37037037.04,0.057,0.04,,[32],TSMC,,,,
2016,0.04,25000000,0.064,0.048,0.003072,[17],IBM,,,,
2017,0.0312,32051282.05,0.054,0.036,0.001944,[18],Intel ,,,,
2017,0.0269,37174721.19,0.056,0.04,0.00224,[19],Global foundries ,,,,
2018,0.0262,38167938.93,0.054,0.036,0.001944,[20],Samsung ,,,,
2019,0.021,47619047.62,,,,[29],TSMC,  ,,,
2022,0.024,41666666.67,0.05,0.03,,[30][31],Intel,,,,
