Year,Capacity (bits),Chip Area (mm^2),Density (Mb/mm^2),Source,note,References
1983,262144,34.1,0.007331378299,ISSCC,,"T. Nakano, T. Yabu, E. Noguchi, K. Shirai and K. Miyasaka, ""A sub 100ns 256Kb DRAM,"" 1983 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, New York, NY, USA, 1983, pp. 224-225."
1984,1048576,75.858,0.01318252524,ISSCC,entering Mbit era,"S. Suzuki, M. Nakao, T. Takeshima, M. Yoshida, M. Kikuchi and K. Nakamura, ""A 128K word × 8b DRAM,"" 1984 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, San Francisco, CA, USA, 1984, pp. 106-107."
1985,1048576,69.6,0.01436781609,ISSCC,,"H. Kirsch et al., ""A 1Mb CMOS DRAM,"" 1985 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, New York, NY, USA, 1985, pp. 256-257."
1985,1048576,54.7008,0.01828126828,ISSCC,,"Y. Takemae et al., ""A 1Mb DRAM with 3-dimensional stacked capacitor cells,"" 1985 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, New York, NY, USA, 1985, pp. 250-251."
1985,1048576,63.2394,0.01581292675,ISSCC,,"F. Horiguchi, Y. Itoh, H. Iizuka, M. Ogura and F. Masuoka, ""A 1Mb DRAM with a folded capacitor cell structure,"" 1985 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, New York, NY, USA, 1985, pp. 244-245."
1986,4194304,99.96,0.0400160064,ISSCC,,"A. Shah et al., ""A 4Mb DRAM with cross point trench transistor cell,"" 1986 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, Anaheim, CA, USA, 1986, pp. 268-269."
1987,4194304,67.1,0.05961251863,ISSCC,,"T. Sumi et al., ""A 60ns 4Mb DRAM in a 300mil DIP,"" 1987 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, New York, NY, USA, 1987, pp. 282-283."
1988,16777216,141.86,0.112787255,ISSCC,,"Aoki et al., ""An Experimental 16mb Dram with Transposed Data-Line Structure,"" 1988 IEEE International Solid-State Circuits Conference, 1988 ISSCC. Digest of Technical Papers, San Francisco, CA, USA, 1988, pp. 250-."
1988,16777216,93.85,0.1704848162,ISSCC,,"Inoue et al., ""A 16mb Dram with an Open Bit-Line Architecture,"" 1988 IEEE International Solid-State Circuits Conference, 1988 ISSCC. Digest of Technical Papers, San Francisco, CA, USA, 1988, pp. 246-."
1989,16777216,136.9,0.1168736304,ISSCC,,"S. Fujii et al., ""A 45 ns 16 Mb DRAM with triple-well structure,"" IEEE International Solid-State Circuits Conference, 1989 ISSCC. Digest of Technical Papers, New York, NY, USA, 1989, pp. 248-249."
1990,16777216,140.86,0.1135879597,ISSCC,,"H. Kalter et al., ""A 50 ns 16 Mb DRAM with a 10 ns data rate,"" 1990 37th IEEE International Conference on Solid-State Circuits, San Francisco, CA, USA, 1990, pp. 232-233."
1991,67108864,176.4,0.3628117914,ISSCC,,"Y. Oowaki et al., ""A 33ns 64Mb DRAM,"" 1991 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, San Francisco, CA, USA, 1991, pp. 114-299."
1991,67108864,224.7238,0.284794045,ISSCC,,"M. Taguchi et al., ""A 40ns 64Mb DRAM With Current-sensing Data-bus Amplifier,"" 1991 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, San Francisco, CA, USA, 1991, pp. 112-299."
1992,67108864,186.034,0.3440231356,ISSCC,,"H. Koike et al., ""A 30 ns 64 Mb DRAM with built-in self-test and repair function,"" 1992 IEEE International Solid-State Circuits Conference Digest of Technical Papers, San Francisco, CA, USA, 1992, pp. 150-151."
1993,268435456,333.2,0.7683073229,ISSCC,256Mbit era,"T. Sugibayashi et al., ""A 30 ns 256 Mb DRAM with multi-divided array structure,"" 1993 IEEE International Solid-State Circuits Conference Digest of Technical Papers, San Francisco, CA, USA, 1993, pp. 50-51."
1993,268435456,478.08,0.5354752343,ISSCC,,"G. Kitsukawa et al., ""256 Mb DRAM technologies for file applications,"" 1993 IEEE International Solid-State Circuits Conference Digest of Technical Papers, San Francisco, CA, USA, 1993, pp. 48-49."
1994,268435456,304.2288,0.8414719448,ISSCC,,"M. Asakura et al., ""A 34 ns 256 Mb DRAM with boosted sense-ground scheme,"" Proceedings of IEEE International Solid-State Circuits Conference - ISSCC '94, San Francisco, CA, USA, 1994, pp. 140-141."
1995,1073741824,714.56,1.433049709,ISSCC,entering 1Gbit era,"M. Horiguchi et al., ""An experimental 220 MHz 1 Gb DRAM,"" Proceedings ISSCC '95 - International Solid-State Circuits Conference, San Francisco, CA, USA, 1995, pp. 252-253."
1995,1073741824,936,1.094017094,ISSCC,,"T. Sugibayashi et al., ""A 1 Gb DRAM for file applications,"" Proceedings ISSCC '95 - International Solid-State Circuits Conference, San Francisco, CA, USA, 1995, pp. 254-255."
1996,1073741824,581.7695,1.760147275,ISSCC,,"Y. Nitta et al., ""A 1.6 GB/s data-rate 1 Gb synchronous DRAM with hierarchical square-shaped memory block and distributed bank architecture,"" 1996 IEEE International Solid-State Circuits Conference. Digest of TEchnical Papers, ISSCC, San Francisco, CA, USA, 1996, pp. 376-377."
1997,4294967296,985.6,4.155844156,ISSCC,4-level cell,"T. Murotani et al., ""A 4-level storage 4 Gb DRAM,"" 1997 IEEE International Solids-State Circuits Conference. Digest of Technical Papers, San Francisco, CA, USA, 1997, pp. 74-75."
1998,1073741824,505,2.027722772,ISSCC,,"S. Eto et al., ""A 1 Gb SDRAM with ground level precharged bitline and non-boosted 2.1 V word line,"" 1998 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, ISSCC. First Edition (Cat. No.98CH36156), San Francisco, CA, USA, 1998, pp. 82-83."
1999,1073741824,390,2.625641026,ISSCC,,"T. Kirihata et al., ""A 390 mm/sup 2/ 16-bank 1 Gb DDR SDRAM with hybrid bitline architecture,"" 1999 IEEE International Solid-State Circuits Conference. Digest of Technical Papers. ISSCC. First Edition (Cat. No.99CH36278), San Francisco, CA, 1999, pp. 422-423."
2001,4294967296,644.76,6.352751411,ISSCC,4Gbit,"Hongil Yoon et al., ""A 4 Gb DDR SDRAM with gain-controlled pre-sensing and reference bitline calibration schemes in the twisted open bitline architecture,"" 2001 IEEE International Solid-State Circuits Conference. Digest of Technical Papers. ISSCC (Cat. No.01CH37177), San Francisco, CA, USA, 2001, pp. 378-379."
2001,536870912,113,4.530973451,ISSCC,,"T. Kirihata et al., ""A 113 mm/sup 2/ 600 Mb/s/pin 512 Mb DDR2 SDRAM with vertically-folded bitline architecture,"" 2001 IEEE International Solid-State Circuits Conference. Digest of Technical Papers. ISSCC (Cat. No.01CH37177), San Francisco, CA, USA, 2001, pp. 382-383."
2002,536870912,84.6,6.052009456,VLSI Circuits,,"S. Wuensche et al., ""A 110 nm 512 Mb DDR DRAM with vertical transistor trench cell,"" 2002 Symposium on VLSI Circuits. Digest of Technical Papers (Cat. No.02CH37302), Honolulu, HI, USA, 2002, pp. 114-115."
2002,536870912,126.5,4.04743083,VLSI Circuits,,"T. Matano et al., ""A 1-Gb/s/pin 512-Mb DDRII SDRAM using a digital DLL and a slew-rate-controlled output buffer,"" in IEEE Journal of Solid-State Circuits, vol. 38, no. 5, pp. 762-768, May 2003."
2005,2147483648,195.64,10.46820691,ISSCC,,"Kye Hyun Kyung et al., ""A 800Mb/s/pin 2GB DDR2 SDRAM using an 80nm triple metal technology,"" ISSCC. 2005 IEEE International Digest of Technical Papers. Solid-State Circuits Conference, 2005., San Francisco, CA, 2005, pp. 468-610 Vol. 1."
2006,536870912,112.86,4.53659401,ISSCC,,"M. Brox et al., ""A 2Gb/s/pin 512Mb Graphics DRAM with NoiseReduction Techniques,"" 2006 IEEE International Solid State Circuits Conference - Digest of Technical Papers, San Francisco, CA, 2006, pp. 537-546."
2007,536870912,88,5.818181818,ISSCC,,"B. Johnson, B. Keeth, F. Lin and H. Zheng, ""Phase-Tolerant Latency Control for a Combination 512Mb 2.0Gb/s/pin GDDR3 and 2.5Gb/s/pin GDDR4 SDRAM,"" 2007 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, San Francisco, CA, 2007, pp. 494-617."
2008,536870912,68,7.529411765,ISSCC,,"S. Bae et al., ""A 60nm 6Gb/s/pin GDDR5 Graphics DRAM with Multifaceted Clocking and ISI/SSN-Reduction Techniques,"" 2008 IEEE International Solid-State Circuits Conference - Digest of Technical Papers, San Francisco, CA, 2008, pp. 278-613."
2009,4294967296,173.82,23.56460706,ISSCC,,"Yongsam Moon et al., ""1.2V 1.6Gb/s 56nm 6F2 4Gb DDR3 SDRAM with hybrid-I/O sense amplifier and segmented sub-array architecture,"" 2009 IEEE International Solid-State Circuits Conference - Digest of Technical Papers, San Francisco, CA, 2009, pp. 128-129,129a."
2009,1073741824,130,7.876923077,ISSCC,,"R. Kho et al., ""75nm 7Gb/s/pin 1Gb GDDR5 graphics memory device with bandwidth-improvement techniques,"" 2009 IEEE International Solid-State Circuits Conference - Digest of Technical Papers, San Francisco, CA, 2009, pp. 134-135,135a."
2009,1073741824,84.23,12.15718865,ISSCC,,"Bong Hwa Jeong et al., ""A 1.35V 4.3GB/s 1Gb LPDDR2 DRAM with controllable repeater and on-the-fly power-cut scheme for low-power and high-speed mobile application,"" 2009 IEEE International Solid-State Circuits Conference - Digest of Technical Papers, San Francisco, CA, 2009, pp. 132-133."
2010,1073741824,61.6,16.62337662,ISSCC,,"T. Oh et al., ""A 7Gb/s/pin GDDR5 SDRAM with 2.5ns bank-to-bank active time and no bank-group restriction,"" 2010 IEEE International Solid-State Circuits Conference - (ISSCC), San Francisco, CA, 2010, pp. 434-435."
2011,2147483648,80.6,25.40942928,ISSCC,,"S. Bae et al., ""A 40nm 2Gb 7Gb/s/pin GDDR5 SDRAM with a programmable DQ ordering crosstalk equalizer and adjustable clock-tracking BW,"" 2011 IEEE International Solid-State Circuits Conference, San Francisco, CA, 2011, pp. 498-500."
2012,4294967296,30.9,132.5566343,ISSCC,,"K. Lim et al., ""A 1.2V 23nm 6F2 4Gb DDR3 SDRAM with local-bitline sense amplifier, hybrid LIO sense amplifier and dummy-less array architecture,"" 2012 IEEE International Solid-State Circuits Conference, San Francisco, CA, 2012, pp. 42-44."
2012,4294967296,76,53.89473684,ISSCC,,"K. Sohn et al., ""A 1.2V 30nm 3.2Gb/s/pin 4Gb DDR4 SDRAM with dual-error detection and PVT-tolerant data-fetch scheme,"" 2012 IEEE International Solid-State Circuits Conference, San Francisco, CA, 2012, pp. 38-40."
2014,4294967296,51.2,80,ISSCC,,"H. Lee et al., ""25.3 A 1.35V 5.0Gb/s/pin GDDR5M with 5.4mW standby power and an error-adaptive duty-cycle corrector,"" 2014 IEEE International Solid-State Circuits Conference Digest of Technical Papers (ISSCC), San Francisco, CA, 2014, pp. 434-435."
2014,8589934592,88.1,92.98524404,ISSCC,,"T. Oh et al., ""25.1 A 3.2Gb/s/pin 8Gb 1.0V LPDDR4 SDRAM with integrated ECC engine for sub-1V DRAM core operation,"" 2014 IEEE International Solid-State Circuits Conference Digest of Technical Papers (ISSCC), San Francisco, CA, 2014, pp. 430-431."
2016,8589934592,62.04,132.0438427,ISSCC,,"H. Joo et al., ""18.1 A 20nm 9Gb/s/pin 8Gb GDDR5 DRAM with an NBTI monitor, jitter reduction techniques and improved power distribution,"" 2016 IEEE International Solid-State Circuits Conference (ISSCC), San Francisco, CA, 2016, pp. 314-315."
2017,8589934592,85,96.37647059,ISSCC,,"M. Brox et al., ""23.1 An 8Gb 12Gb/s/pin GDDR5X DRAM for cost-effective high-performance applications,"" 2017 IEEE International Solid-State Circuits Conference (ISSCC), San Francisco, CA, 2017, pp. 388-389."
2017,2147483648,18.52,110.5831533,ISSCC,,"N. Kwak et al., ""23.3 A 4.8Gb/s/pin 2Gb LPDDR4 SDRAM with sub-100µA self-refresh current for IoT applications,"" 2017 IEEE International Solid-State Circuits Conference (ISSCC), San Francisco, CA, 2017, pp. 392-393."
2018,8589934592,47.9,171.0229645,ISSCC,"reported for 16Gbit, but the data is only for 8Gbit and the area overhead for this chip is unclear because it was not disclosed","Y. Kim et al., ""A 16Gb 18Gb/S/pin GDDR6 DRAM with per-bit trainable single-ended DFE and PLL-less clocking,"" 2018 IEEE International Solid - State Circuits Conference - (ISSCC), San Francisco, CA, 2018, pp. 204-206."
2018,8589934592,42.77,191.5361235,ISSCC,"reported for 16Gbit, but the data is only for 8Gbit and the area overhead for this chip is unclear because it was not disclosed","K. C. Chun et al., ""A 16Gb LPDDR4X SDRAM with an NBTI-tolerant circuit solution, an SWD PMOS GIDL reduction technique, an adaptive gear-down scheme and a metastable-free DQS aligner in a 10nm class DRAM process,"" 2018 IEEE International Solid - State Circuits Conference - (ISSCC), San Francisco, CA, 2018, pp. 206-208."
2019,17179869184,76.22,214.9567043,ISSCC,,"D. Kim et al., ""23.2 A 1.1V 1ynm 6.4Gb/s/pin 16Gb DDR5 SDRAM with a Phase-Rotator-Based DLL, High-Speed SerDes and RX/TX Equalization Scheme,"" 2019 IEEE International Solid- State Circuits Conference - (ISSCC), San Francisco, CA, USA, 2019, pp. 380-382."
2019,8589934592,45.9,178.4749455,ISSCC,,"K. Ha et al., ""23.1 A 7.5Gb/s/pin LPDDR5 SDRAM With WCK Clocking and Non-Target ODT for High Speed and With DVFS, Internal Data Copy, and Deep-Sleep Mode for Low Power,"" 2019 IEEE International Solid- State Circuits Conference - (ISSCC), San Francisco, CA, USA, 2019, pp. 378-380."
